2019-01-23 14:40:43,160 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:45,936 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/tag/list', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:45,946 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/login?next=%2Ftag%2Flist', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:46,024 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/v.img', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:46,033 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:46,041 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:46,518 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/index', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:46,616 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/question/list?pre=0', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:46,624 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:46,629 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:56,026 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/login?next=/index', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:56,105 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/auth/v.img', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:56,118 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status/current', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:40:56,123 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 14:47:34,855 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/answer/status', version='HTTP/1.1', remote_ip='127.0.0.1')
2019-01-23 15:59:26,774 [file:17] [INFO]- HTTPServerRequest(protocol='http', host='127.0.0.1:9000', method='GET', uri='/user/list', version='HTTP/1.1', remote_ip='127.0.0.1')
